,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
3409,A4413,"['Philips Sonicare HX6212/05 2 Series Plaque Control Rechargeable Toothbrush, Special pack', 'DuPont Teflon Non-Stick', 'DuPont Teflon Silicone Lubricant', 'DuPont Teflon Non-Stick', 'NIBCO 436 Series PVC Pipe Fitting, Adapter, Schedule 40, 1-1/2"" Slip x NPT Male', 'Spears 497 Series PVC Pipe Fitting, Union with EPDM O-Ring, Schedule 40, 1"" Socket', ""Weldon 10167 Aqua Blue 725 Medium-Bodied Wet 'R Dry Pvc Professional Industrial-Grade Cement Extremely Fast-Setting Low-Voc, 1/2 pint, Aqua Blue""]",URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,"[1987, 139, 140, 774, 1014, 211, 989]",176,"['<a_24><b_20><c_1>', '<a_197><b_204><c_0>', '<a_173><b_201><c_145>', '<a_197><b_204><c_0>', '<a_108><b_153><c_115>', '<a_206><b_178><c_143>', '<a_173><b_181><c_125>']",<a_17><b_80><c_8>
3410,A5965,"['608 ZZ Skateboard Bearings, Double Shielded, Silver (Pack of 8)', 'POWERTEC 15501 1/2"" Arbor 60-Grit Silicon Carbide Grinding Wheel, 6"" by 3/4']","Swan 0100003 99% Isopropyl Alcohol Antiseptic Solution, 16 oz. (Pack of 12)","[665, 699]",1458,"['<a_251><b_84><c_106>', '<a_193><b_177><c_173>']",<a_44><b_122><c_52>
3411,A3176,"['Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion', '3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', 'AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, Large, Indigo (Case of 1000)', '3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS', '3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', 'MegaDeal AC201710300001 12 Pack 2"" Swivel Caster Wheels Rubber Base with Top Plate & Bearing Heavy Duty']",1 Gallon Blue Premium Indicating Silica Gel Beads(Industry Standard 2-4 mm) - 7.5 LBS Reusable,"[84, 2993, 303, 2909, 3453, 128]",2479,"['<a_104><b_186><c_66>', '<a_223><b_80><c_128>', '<a_44><b_217><c_50>', '<a_223><b_80><c_84>', '<a_223><b_80><c_91>', '<a_87><b_74><c_149>']",<a_150><b_9><c_146>
3412,A2091,"['Dicor BT-1834-1 1/8"" x 3/4"" x 30\' Butyl Seal Tape', 'Dynarex Safe-Touch Nitrile Exam Gloves, Powder-Free, X-Large, 100 Count Box', 'Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator']","AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","[720, 1230, 152, 181, 181]",182,"['<a_170><b_49><c_43>', '<a_44><b_236><c_218>', '<a_228><b_113><c_68>', '<a_107><b_93><c_0>', '<a_107><b_93><c_0>']",<a_107><b_93><c_0>
3413,A1635,"['AGPtek&reg; 12 Pipe Aluminum Heat Exchanger Radiator for PC CPU CO2 Laser Water Cool System Computer', 'Steel Lock Nut, Plain Finish, Gray (Pack of 100)', 'Arctic Silver 5 AS5-3.5G Thermal Paste']",3/8in OD 1/8in ID Speargun Band/Sling Thick Walled BLACK Latex Rubber Tubing ONE CONTINUOUS PIECE(#408) (Select Length),"[2921, 2945, 395]",2873,"['<a_52><b_192><c_121>', '<a_224><b_10><c_184>', '<a_79><b_24><c_40>']",<a_228><b_167><c_140>
3414,A7245,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HICTOP Desktop 3D Printer, Black', 'Dremel PLA 3D Printer Filament, 1.75 mm Diameter, 0.5 kg Spool Weight, White Translucent', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', 'Inland 1.75mm Pink PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'microtivity IL184 5mm Assorted Clear LED w/ Resistors (6 Colors, Pack of 60)', 'Hillman 830504 Stainless Steel 5/16-Inch Flat Washers, 100-Pack, 1 Pack', '3D Solutech Hot Pink 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)']",Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm,"[50, 3534, 3675, 562, 2718, 1785, 111, 1888]",2151,"['<a_223><b_198><c_36>', '<a_158><b_66><c_0>', '<a_223><b_91><c_95>', '<a_223><b_198><c_37>', '<a_158><b_72><c_220>', '<a_73><b_141><c_2>', '<a_224><b_209><c_1>', '<a_223><b_80><c_25>']",<a_91><b_115><c_103>
3415,A7504,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver', '3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', '3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS', '3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA']",3D Solutech See Through Blue 1.75mm PETG 3D Printer Filament 2.2 LBS (1.0KG),"[2507, 2697, 2909, 3522]",3547,"['<a_223><b_198><c_173>', '<a_223><b_80><c_159>', '<a_223><b_80><c_84>', '<a_223><b_80><c_11>']",<a_223><b_187><c_18>
3416,A867,"['Continental ContiTech Fractional Horsepower V-Belt, 4L590, Cogged, 0.50"" Width, 0.31"" Height, 59"" Nominal Outside Length', 'Continental ContiTech Fractional Horsepower V-Belt, 4L440, Cogged, 0.50"" Width, 0.31"" Height, 44"" Nominal Outside Length', 'IPG AC6 6 Mil Utility Grade Duct Tape 1.88"" x 55 yd, Silver, 3-Pack', '3-IN-ONE  Multi-Purpose PTFE Lubricant, 4 OZ', 'Seek Thermal Compact Imager for iOS-Apple', 'Georgia-Pacific ADS200B Cormatic Automated Designer Series Towel Dispenser', 'T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray', 'Jonard Tools Mid Span Slitter (1.2mm-3.3mm)']","HHIP 8000-0001 2 Flute High Speed Steel End Mill Set, 6 Piece, 3/8"" Shank","[1719, 1720, 293, 184, 1466, 2178, 278, 2180]",2210,"['<a_197><b_18><c_57>', '<a_197><b_18><c_78>', '<a_202><b_193><c_74>', '<a_173><b_187><c_145>', '<a_36><b_64><c_122>', '<a_109><b_76><c_225>', '<a_202><b_118><c_74>', '<a_159><b_169><c_154>']",<a_193><b_215><c_181>
3417,A7660,"['Bob Smith Industries BSI-157H Maxi Cure/Insta-Set Combo Pack (3 oz. Combined)', 'RiteBrew Rubber Stopper - Size 10 - Drilled', 'Anderson Metals 56110 Brass Pipe Fitting, Hex Bushing, 1/2"" NPT Male Pipe x 3/8"" NPT Female Pipe', 'Silicone RTV 4500 FDA Grade High Strength Silicone Sealant, Clear (2.8 fl.oz)']","eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue","[2096, 1324, 1177, 470]",2157,"['<a_99><b_13><c_12>', '<a_14><b_216><c_46>', '<a_108><b_133><c_2>', '<a_244><b_15><c_88>']",<a_223><b_126><c_16>
3418,A5255,"['GUM Flosbrush Mint [861] 100 Feet', 'GUM Flosbrush Mint [861] 100 Feet', '3M Flap Disc 566A, T29, 4-1/2"" Diameter, 40 Grit, 5/8""-11 Thread (Pack of 1)', '3M Hookit Film Disc 375L, Aluminum Oxide, 5"" Diameter, P180 Grade  (Pack of 50)', 'Stanley Interlocking Anti-Fatigue Utility Mat &ndash; Edge (2-pack), 24-inch x 24-inch x 0.6-inch']","FLIR E8: Compact Thermal Imaging Camera with 320 x 240 IR Resolution, MSX and Wi-Fi","[3504, 3504, 981, 1084, 3280]",2176,"['<a_24><b_216><c_164>', '<a_24><b_216><c_164>', '<a_17><b_174><c_1>', '<a_197><b_57><c_227>', '<a_68><b_34><c_125>']",<a_107><b_68><c_141>
3419,A479,"['Shop-Vac 1.25 inch Diameter Locking Hose Kit', 'Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)', '3M Scotch 2120-A Tough Transparent Duct Tape, 1.8-Inch, 20 yds', 'Precision Brand B24HS All Stainless Worm Gear Hose Clamp, 1-1/16"" - 2"" (Pack of 10)', 'Industrial & Scientific"" />', 'Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft']",PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll,"[1534, 42, 200, 1535, 1536, 168]",6,"['<a_24><b_173><c_56>', '<a_71><b_242><c_21>', '<a_206><b_9><c_216>', '<a_71><b_242><c_145>', '<a_15><b_234><c_59>', '<a_202><b_147><c_0>']",<a_193><b_196><c_9>
3420,A1826,"['AGPtek Stainless Steel PT100 RTD Thermistor Sensor Probe (Temperature Rang: -20~420&deg;C)', 'Filabot XTC24 XTC-3D High Performance Print Coating, 24 oz, Clear', 'MeltInk3D Silver PLA 3D Printer Filament &Oslash; 1.75mm, 1Kg (2.2 Lb), MADE in U.S.A, Dimensional Accuracy: &plusmn; 0.05mm']","Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack","[2974, 3089, 2719]",3,"['<a_211><b_224><c_91>', '<a_223><b_201><c_15>', '<a_158><b_206><c_223>']",<a_224><b_163><c_184>
3421,A807,"['SCIGRIP 16 10315 Acrylic Cement, Low-VOC, Medium bodied, 5 Ounce Tube, Clear', 'Woodstock W1038 4-Inch Quick Connect and Disconnect', 'M-D Building Products 2311 High Density Foam Tape, 1/2-by-3/4-Inch by 10 feet, Gray', 'White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25\' Length', 'White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10\' Length', 'Banjo HB075 Polypropylene Hose Fitting, Adapter, 3/4"" NPT Male x 3/4"" Barbed', '5 Gallon Plastic Hedpack with cap']","GE Silicone 2+ Window & Door Caulk, 10.1 Oz. Tube, Clear, GE5000","[861, 90, 826, 93, 94, 1421, 726]",259,"['<a_165><b_219><c_10>', '<a_108><b_92><c_217>', '<a_244><b_0><c_2>', '<a_228><b_158><c_82>', '<a_228><b_158><c_11>', '<a_108><b_201><c_3>', '<a_14><b_137><c_79>']",<a_244><b_218><c_141>
3422,A4003,"['Forney 71805 Emery Cloth, 180-Grit, 1-Inch-by-10-Yard Bench Roll', 'Jumbo 51pc Drum Sanding Kit - Fits Dremel - Includes Rubber Drum Mandrels - 1/2, 3/8 & 1/4', 'Racers Edge 3000 1/2-Ounce Bottle W Needle Tip', '2 Needle Tip Bottle Liquid Flux Dispenser Oil Solvent Applicator Dropper 0.7 Oz']","Stanley Wet/Dry Vacuum, 1 Gallon, 1.5 Horsepower","[2901, 75, 559, 1114]",704,"['<a_193><b_81><c_211>', '<a_159><b_63><c_34>', '<a_150><b_182><c_50>', '<a_150><b_110><c_152>']",<a_24><b_2><c_14>
3423,A3605,"['Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes', '3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear', 'Kimberly-Clark Professional Kimtech Science KimWipes Delicate Task Wipers, 4.4 x 8.4 in. 1-ply', 'Kimberly-Clark Professional Kimtech Science KimWipes Delicate Task Wipers, 4.4 x 8.4 in. 1-ply']",O-Cedar Multi-Use Scrunge Scrub Sponge (Pack of 6),"[178, 1008, 513, 513]",680,"['<a_224><b_17><c_207>', '<a_180><b_11><c_69>', '<a_210><b_12><c_10>', '<a_210><b_12><c_10>']",<a_24><b_38><c_244>
3424,A4500,"['Hoover SteamVac Hose for F6 Series 43436023 90001334', 'Hoover SteamVac Hose for F6 Series 43436023 90001334', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'CMS Magnetics Super Strong 1&rdquo; Neodymium Cube Magnet &ndash; Storage Box Included for Added Safety', 'American Educational Clear Borosilicate Glass 1000mL Bomex Filtering Flask', 'LAB SCOOP Stainless steel, 6"" long 3pk', 'Dow Corning Vacuum Lubricant 5.3oz Tube', 'SPACECARE 4 Pack of 2"" Swivel Caster Blue Polyurethane Wheels Base with Brake Top Plate Double Ball']","Anderson Metals 06102 Brass Pipe Fitting, Barstock Cross, 1/4"" x 1/4"" x 1/4"" x 1/4"" NPT Female Pipe","[3239, 3239, 182, 3400, 2820, 2409, 1708, 2325]",3342,"['<a_24><b_130><c_51>', '<a_24><b_130><c_51>', '<a_107><b_93><c_0>', '<a_251><b_212><c_99>', '<a_94><b_242><c_43>', '<a_229><b_245><c_222>', '<a_173><b_202><c_249>', '<a_87><b_47><c_119>']",<a_108><b_1><c_88>
3425,A6409,"['Mentadent Advance Whitening Refreshing Mint Bonus Pack Free Base & 2 Refills 5.25 OZ', '213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml', 'AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, Large, Indigo (Case of 1000)', 'Ultrasac Platinum ULP 013009065 &ndash; Single Kitchen Drawstring Trash Bags, 13 gal, Tall (Pack of 65)', 'Rubbermaid Commercial Products Executive Janitorial Housekeeping Quick Cart, Large, 1902465', 'AMMEX - ABNPF48100-BX - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 4 mil, XLarge, Black (Box of 100)', 'Vktech 100PCS 0.2ml Graduated Pipettes Dropper Polyethylene', 'Buytra Disposable 3ML Graduated Transfer Pipettes Eye Dropper Set 100 Pcs P.', 'Medline MDS2584H SensiCare Silk Nitrile Exam Gloves with Smartguard Film, Small, Blue (Pack of 250)', 'Colgate Cavity Protection Toothpaste with Fluoride - 1 ounce (24 Pack)']","SEOH Micro Borosilicate Glass Graduated Beakers (5ml, 10ml and 25ml)","[590, 824, 303, 315, 2191, 625, 1549, 2988, 1010, 150]",3528,"['<a_66><b_31><c_78>', '<a_94><b_75><c_129>', '<a_44><b_217><c_50>', '<a_210><b_230><c_246>', '<a_210><b_229><c_142>', '<a_44><b_217><c_235>', '<a_94><b_32><c_74>', '<a_94><b_11><c_59>', '<a_44><b_130><c_189>', '<a_66><b_78><c_36>']",<a_94><b_40><c_253>
3426,A3493,"['18-8 Stainless Steel Fully Threaded Rod, 1/4""-20 Thread Size, 36"" Length, Right Hand Threads', 'Stainless Steel 316L Seamless Round Tubing, 1/8"" OD, 0.027"" ID, 0.049"" Wall, 12"" Length', 'Stainless Steel 316L Seamless Round Tubing, 1/8"" OD, 0.027"" ID, 0.049"" Wall, 12"" Length', 'Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)']",Inland 1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs),"[1036, 1826, 1826, 2734]",1553,"['<a_224><b_178><c_154>', '<a_17><b_120><c_201>', '<a_17><b_120><c_201>', '<a_158><b_72><c_232>']",<a_158><b_72><c_191>
3427,A3148,"['Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion', 'Malin - MS20995C Stainless Steel Safety Wire / Lockwire | .032"" Dia , Can', 'Tesa  Wire Loom Harness Tape Used By Mercedes BMW VW Audi', 'Century Drill and Tool 95107 Coarse Plug Hand Tap, 3/8-16', 'Century Drill and Tool 97205 Plug Hand Pipe Tap, 3/4-14 NPT']","Zenport DPG200 Zen-Tek Dry Air Pressure Gauge, 200 PSI","[84, 439, 856, 410, 1376]",2213,"['<a_104><b_186><c_66>', '<a_71><b_51><c_181>', '<a_233><b_239><c_74>', '<a_224><b_88><c_0>', '<a_224><b_88><c_115>']",<a_229><b_100><c_222>
3428,A5252,"['CRC 03084 11oz Dry Moly Lubricant Aerosol Spray', 'CRC 03084 11oz Dry Moly Lubricant Aerosol Spray', 'Malin - MS20995C Stainless Steel Safety Wire / Lockwire | .032"" Dia , Can', 'Nubee Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58 &deg;F - 1022&deg;F(-50&deg;C - 550&deg;C) MAX Display, EMS Adjustable Function, Orange', 'Oatey 30200 Clear Cutting Oil, Hand Threads, 16-Ounce']","Gorilla Super Glue Gel, 20 Gram, Clear","[3390, 3390, 439, 620, 1019]",1959,"['<a_173><b_81><c_62>', '<a_173><b_81><c_62>', '<a_71><b_51><c_181>', '<a_107><b_133><c_57>', '<a_173><b_192><c_99>']",<a_165><b_210><c_108>
3429,A3752,"['DuPont Teflon Non-Stick', 'Scotch Aluminum Foil Tape 3311 Silver, 2 in x 10 yd 3.6 mil (Pack of 1)', '3M 3432 Red Micro Prismatic Sheeting Reflective Tape, 0.25"" X 5yd (1 Roll)', 'Elitech RC-5 USB Temperature Data logger Recorder 32000 Points High Accuracy']","Gorilla 100 Percent Silicone Sealant Caulk, 2.8 ounce Squeeze Tube, Clear","[774, 353, 1932, 3489]",2044,"['<a_197><b_204><c_0>', '<a_202><b_10><c_78>', '<a_68><b_176><c_197>', '<a_158><b_75><c_208>']",<a_244><b_52><c_0>
3430,A7503,"['XYZprinting RFPLCXUS00B da Vinci Jr. & mini Series Filament, PLA (NFC), 600 g, Nature', 'HICTOP Desktop 3D Printer, Black', 'eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black']","3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK","[300, 3534, 1206]",3112,"['<a_223><b_95><c_158>', '<a_158><b_66><c_0>', '<a_158><b_245><c_180>']",<a_223><b_80><c_3>
3431,A5684,"['Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black', 'Gorilla 6100101 Tape Handy Roll, 1-Pack, Black', 'Gorilla Super Glue Gel, 20 Gram, Clear', 'Bob Smith Industries BSI-161H UN-CURE Super Glue Debonder, 1 oz.']",Tach-It B-1 Single Edge Industrial Razor Blade (Pack of 100),"[338, 125, 1959, 2297]",220,"['<a_107><b_90><c_50>', '<a_202><b_52><c_122>', '<a_165><b_210><c_108>', '<a_99><b_214><c_123>']",<a_17><b_91><c_139>
